Ref,Country,Date online,Status,Technology,Technology_electricity,Technology_electricity_details,Product,Capacity_MWel,Capacity_Nm³ H₂/h,Capacity_kt H2/y,Capacity_t CO₂ captured/y,zero-carbon estimated normalized capacity [Nm³ H₂/hour]
1639,AUS,,Feasibility study,PEM,Dedicated renewable,Solar PV,H2,17.5,3365,2.6,,3365
1640,GBR,2027,Feasibility study,NG w CCUS,,,H2,,113680,88.6,,0
1641,GBR,2030,Feasibility study,NG w CCUS,,,H2,,206545,161,,0
1642,GBR,2027,Feasibility study,NG w CCUS,,,H2,,230562,179.8,1600000,200602
1643,DEU,,Concept,NG w CCUS,,,H2,,200000,155.9,,0
1646,DEU,2024,Concept,SOEC,Dedicated renewable,Offshore wind,Ammonia,100,26316,20.5,,26316
1678,AUS,,Feasibility study,NG w CCUS,,,H2,,21377,17,150000,18806
1682,USA,,Concept,NG w CCUS,,,H2,,,,1100000,137914
1686,GRC,2030,Concept,NG w CCUS,,,H2,,,,600000,75226
1712,USA,2025,FID/Construction,ALK,Other/Unknown,,H2,220,47826,37.3,,47826
1713,USA,2024,Feasibility study,PEM,Other/Unknown,,H2,36.52,7022,5,,7022
1714,HUN,2024,Feasibility study,PEM,Other/Unknown,,H2,10,1923,1.5,,1923
1718,USA,,Feasibility study,SOEC,Other/Unknown,,Ammonia,10,2632,2.1,,2632
1719,USA,,Feasibility study,ALK,Other/Unknown,,Ammonia,20,4348,3.4,,4348
1720,ESP,2024,FID/Construction,ALK,Dedicated renewable,Others/Various,Synfuels,10,2174,1.7,,2174
1724,VNM,2024,FID/Construction,ALK,Other/Unknown,,Ammonia,528,114787,89,,114787
1726,USA,2026,Feasibility study,NG w CCUS,,,Ammonia,,86613,68,450000,56419
1728,ESP,,Feasibility study,PEM,Dedicated renewable,Offshore wind,H2,30,5769,4.5,,5769
1729,ESP,,Feasibility study,PEM,Dedicated renewable,Offshore wind,H2,50,9615,7.5,,9615
1732,DEU,2024,FID/Construction,PEM,Dedicated renewable,Onshore wind,H2,2,385,0.3,,385
1736,DEU,2026,FID/Construction,PEM,Dedicated renewable,Unknown,H2,7,1346,1,,1346
1744,USA,2025,Feasibility study,ALK,Other/Unknown,,H2,290,63043,49.2,,63043
1748,FRA,2025,Concept,ALK,Dedicated renewable,Solar PV,H2,100,21739,16.9,,21739
1752,FRA,2023,FID/Construction,ALK,Grid,,H2,1,217,0.2,,217
1754,GBR,2025,Feasibility study,PEM,Other/Unknown,,H2,20,3846,3,,3846
1759,IND,2023,FID/Construction,PEM,Dedicated renewable,Unknown,H2,10,1923,1.5,,1923
1760,CHN,2024,Concept,ALK,Dedicated renewable,Others/Various,H2,100,21739,16.9,,21739
1762,CHN,,Concept,ALK,Dedicated renewable,Solar PV,H2,50,10870,8.5,,10870
1765,DEU,2025,Feasibility study,ALK,Dedicated renewable,Others/Various,H2,100,21739,16.9,,21739
1768,FRA,2023,Operational,PEM,Other/Unknown,,H2,2.5,481,0.4,,481
1777,CHN,2022,Operational,PEM,Dedicated renewable,Others/Various,H2,2.421917808,466,0.4,,466
1778,CHN,,Concept,PEM,Dedicated renewable,Onshore wind,H2,29.03926941,5584,4.4,,5584
1795,CHN,2024,FID/Construction,PEM,Dedicated renewable,Others/Various,H2,426.8636807,82089,64,,82089
1801,NOR,,Concept,NG w CCUS,,,Ammonia,,230968,180.1,2000000,250753
1802,NOR,,Concept,NG w CCUS,,,Ammonia,,230968,180.1,2000000,250753
1806,NLD,2027,Feasibility study,ALK,Dedicated renewable,Offshore wind,H2,200,43478,33.9,,43478
1808,BRA,2023,FID/Construction,ALK,Dedicated renewable,Onshore wind,Ammonia,60,13043,10.2,,13043
1809,BRA,2025,Feasibility study,ALK,Dedicated renewable,Onshore wind,Ammonia,180,39130,30.5,,39130
1810,PER,,Feasibility study,PEM,Dedicated renewable,Unknown,H2,133.8951311,25749,20,,25749
1815,DEU,2026,Feasibility study,PEM,Dedicated renewable,Offshore wind,Synfuels,62.29525228,11980,9.3,,11980
1819,AUS,2023,FID/Construction,PEM,Other/Unknown,,H2,2.434456929,468,0,,468
1828,CAN,2023,FID/Construction,PEM,Dedicated renewable,Unknown,H2,5,962,0.7,,962
1829,BEL,2025,Feasibility study,PEM,Dedicated renewable,Unknown,H2,100,19231,15,,19231
1835,FRA,2023,Feasibility study,PEM,Dedicated renewable,Others/Various,CH4,1,192,0.1,,192
1848,IND,2026,Concept,ALK,Dedicated renewable,Others/Various,Ammonia,1300,282609,220.3,,282609
1861,BRA,2022,Operational,PEM,Dedicated renewable,Solar PV,H2,3,577,0.4,,577
1862,DEU,,Feasibility study,SOEC,Dedicated renewable,Unknown,Ammonia,700,184211,143.6,,184211
1871,NOR,2023,FID/Construction,PEM,Dedicated renewable,Unknown,H2,4.5,865,0.7,,865
1872,ARE,,Concept,NG w CCUS,,,H2,,,,,0
1873,ESP,2024,FID/Construction,PEM,Dedicated renewable,Solar PV,H2,5,962,0.7,,962
1875,COL,2026,Feasibility study,PEM,Dedicated renewable,Unknown,H2,60,11538,9,,11538
1876,COL,2026,Feasibility study,PEM,Dedicated renewable,Unknown,H2,60,11538,9,,11538
1886,DEU,2026,Feasibility study,PEM,Grid,N/A,MeOH,70,13462,10.5,,13462
1892,USA,2026,Feasibility study,PEM,Dedicated renewable,Others/Various,Synfuels,1800,346154,269.9,,346154
1896,KOR,,Feasibility study,PEM,Dedicated renewable,Onshore wind,H2,1,192,0.1,,192
1898,CAN,2024,FID/Construction,PEM,Dedicated renewable,Hydropower,H2,20,3846,3,,3846
1903,USA,2026,FID/Construction,NG w CCUS,,,Ammonia,,323355,252.1,2000000,250753
1908,ARE,,Concept,NG w CCUS,,,H2,,64132,50,,0
1909,ARE,,Concept,NG w CCUS,,,H2,,192396,150,,0
1912,AUS,,Concept,Biomass,,,Ammonia,,23097,18,,23097
1913,AUS,2028,Concept,NG w CCUS,N/A,N/A,Ammonia,,230968,180.1,,0
1927,GBR,2030,Concept,PEM,Dedicated renewable,Unknown,H2,270,51923,40.5,,51923
1932,USA,2027,Feasibility study,NG w CCUS,N/A,N/A,Ammonia,,323355,252,,0
1938,FRA,2024,FID/Construction,ALK,Dedicated renewable,Unknown,H2,1.75,380,0.3,,380
1940,CHN,2024,FID/Construction,ALK,Other/Unknown,Unknown,H2,22.54,4900,3.8,,4900
1943,ESP,2024,FID/Construction,PEM,Dedicated renewable,Solar PV,H2,1,192,0.1,,192
1947,JPN,2025,FID/Construction,NG w CCUS,,,Ammonia,,,1,,0
1948,JPN,2030,Concept,NG w CCUS,,,Ammonia,,,,,0
1949,FRA,2025,FID/Construction,NG w CCUS,,,H2,,,20,110000,13791
1956,USA,2008,Operational,PEM,Other/Unknown,,H2,15.82397004,3043,2,,3043
1957,USA,2021,Operational,PEM,Other/Unknown,,H2,8.520599251,1639,1,,1639
1958,USA,2023,FID/Construction,PEM,Other/Unknown,,H2,21.35488534,4107,3,,4107
1970,IND,2023,Operational,PEM,Grid+Renewables,Unknown,H2,0.0065,1,0,,1
1971,IND,2023,FID/Construction,ALK,Grid+Renewables,Unknown,H2,1.6,348,0.3,,348
1972,DEU,2025,FID/Construction,ALK,Dedicated renewable,Hydropower,H2,4.248114514,924,1,,924
1975,FRA,2024,FID/Construction,PEM,Other/Unknown,,H2,1,192,0.1,,192
1977,NLD,2025,Feasibility study,Biomass,,,H2,,169,0.13,,169
1986,USA,2023,Operational,PEM,Nuclear,,H2,1,192,0.1,,192
2000,IDN,2028,Concept,SOEC,Nuclear,,H2,1000,263158,205.2,,263158
2007,AUS,2024,FID/Construction,PEM,Dedicated renewable,Solar PV,H2,10,1923,1.5,,1923
2008,AUS,2028,Concept,ALK,Dedicated renewable,Others/Various,H2,300,65217,50.8,,65217
2009,AUS,2028,Concept,ALK,Dedicated renewable,Others/Various,H2,300,65217,50.8,,65217
2010,ITA,2025,Feasibility study,PEM,Dedicated renewable,Others/Various,H2,25,4808,3.7,,4808
2011,NZL,,Feasibility study,ALK,Dedicated renewable,Others/Various,H2,600,130435,101.7,,130435
2015,FIN,2030,Feasibility study,PEM,Grid,,Ammonia,1000,192308,149.9,,192308
2016,FIN,2030,Feasibility study,PEM,Grid,,H2,1000,192308,149.9,,192308
2017,FIN,2030,Feasibility study,PEM,Grid,,H2,200,38462,30,,38462
2030,ARG,,Feasibility study,PEM,Dedicated renewable,Onshore wind,H2,334.7,64373,50,,64373
2038,AUS,,Feasibility study,NG w CCUS,,,Ammonia,,57742,45,,0
2039,AUS,,Concept,NG w CCUS,,,Ammonia,,127032,99,,0
2055,CAN,2024,Feasibility study,NG w CCUS,,,Ammonia,1000,230968,180,,0
2060,PRT,2029,Concept,ALK,Dedicated renewable,Unknown,MeOH,500,108696,84.7,,108696
2063,POL,2024,FID/Construction,PEM,Other/Unknown,,H2,5,962,0.7,,962
2065,IND,2023,FID/Construction,ALK,Dedicated renewable,Solar PV,H2,1,217,0.2,,217
2066,BEL,2030,Feasibility study,Oil w CCUS,,,H2,,,,,0
2067,CHN,2025,Feasibility study,Oil w CCUS,,,H2,,,,1500000,89768
2068,DEU,2029,Concept,NG w CCUS,,,H2,,320225,249.7,1800000,225678
2069,FIN,2025,Feasibility study,NG w CCUS,,,H2,,,,,0
2070,GBR,2030,Feasibility study,NG w CCUS,,,H2,,,,550000,68957
2071,GBR,2027,Concept,NG w CCUS,,,H2,,336236,262,1800000,225678
2074,IDN,,Feasibility study,NG w CCUS,,,H2,,,,,0
2075,IND,,Concept,Coal w CCUS,,,H2,,,,,0
2076,IND,2026,Feasibility study,NG w CCUS,,,H2,,,,350000,43882
2077,ITA,2028,Feasibility study,NG w CCUS,,,H2,,30000,23.4,200000,25075
2078,NLD,2026,Feasibility study,NG w CCUS,,,Ammonia,,,,800000,100301
2079,OMN,,Concept,NG w CCUS,,,Ammonia,,295062,230,,0
2080,USA,2027,Concept,NG w CCUS,,,Ammonia,,300259,234,,0
2081,USA,,Feasibility study,NG w CCUS,,,Ammonia,,,,500000,62688
2082,USA,2026,FID/Construction,NG w CCUS,,,H2,,254065,198,2200000,275828
2083,USA,,Concept,NG w CCUS,,,Ammonia,,,,500000,62688
2084,USA,2028,Concept,NG w CCUS,,,Ammonia,,1662971,1297,12000000,1504517
2085,USA,2026,FID/Construction,NG w CCUS,,,Ammonia,,138581,108,450000,56419
2086,USA,,Feasibility study,NG w CCUS,,,Ammonia,,92387,72,250000,31344
2087,USA,2026,Concept,NG w CCUS,,,H2,,,,100000,12538
2088,USA,2030,Feasibility study,NG w CCUS,,,Ammonia,,,,,0
2089,USA,,Concept,NG w CCUS,,,Ammonia,,,,1000000,125376
2090,USA,,Feasibility study,NG w CCUS,,,H2,,,,,0
2091,USA,,Feasibility study,NG w CCUS,,,H2,,,,1400000,175527
2092,USA,,Feasibility study,NG w CCUS,,,H2,,,,1660000,208125
2093,USA,,Feasibility study,NG w CCUS,,,H2,,,,,0
2094,USA,,Feasibility study,NG w CCUS,,,H2,,,,,0
2096,PRY,2025,Feasibility study,ALK,Dedicated renewable,Unknown,Ammonia,120,26087,20.3,,26087
2102,USA,2023,FID/Construction,ALK,Dedicated renewable,Unknown,H2,,,,,0
2104,USA,,Concept,SOEC,Dedicated renewable,Unknown,Ammonia,650,171053,133.4,,171053
2105,DEU,2023,FID/Construction,ALK,Dedicated renewable,Solar PV,H2,5,1087,0.8,,1087
2110,MEX,,Concept,PEM,Dedicated renewable,Solar PV,Ammonia,274,52692,41.1,,52692
2132,KOR,2030,Concept,NG w CCUS,,,H2,,10261,8,,0
2133,SGP,2024,Feasibility study,ALK,Other/Unknown,Unknown,H2,9,1957,2,,1957
2151,ESP,2026,Feasibility study,ALK,Grid+Renewables,Onshore wind,H2,30,6522,5.1,,6522
2152,ESP,,Concept,ALK,Grid+Renewables,Onshore wind,H2,170,36957,28.8,,36957
2159,CAN,2027,Feasibility study,NG w CCUS,,,H2,,,,,0
2160,USA,2028,Feasibility study,NG w CCUS,,,Ammonia,,300259,234,,0
2175,CHN,,FID/Construction,PEM,Dedicated renewable,Others/Various,H2,666.9745011,128264,100,,128264
2178,ITA,,Concept,NG w CCUS,N/A,N/A,H2,,10005,8,0,0
2182,ESP,2025,Concept,ALK,Dedicated renewable,Solar PV,H2,100,21739,16.9,,21739
2184,ROU,,Feasibility study,PEM,Dedicated renewable,Onshore wind,H2,10,1923,1.5,,1923
2189,NOR,,Concept,ALK,Other/Unknown,,MeOH,819.811573,178220,139,,178220
2195,USA,2025,Concept,ALK,Other/Unknown,,H2,135,29348,22.9,,29348
2202,USA,2027,Feasibility study,NG w CCUS,,,Ammonia,,337214,263,,0
2204,MEX,2028,Concept,ALK,Dedicated renewable,Others/Various,Ammonia,160,34783,27.1,,34783
2205,MEX,2028,Concept,PEM,Dedicated renewable,Others/Various,Ammonia,40,7692,6,,7692
2208,DEU,2024,Feasibility study,ALK,Dedicated renewable,Others/Various,H2,10,2174,1.7,,2174
2212,ESP,2026,Feasibility study,Biomass,,,MeOH,,10798,8,,10798
2216,IRL,,Feasibility study,Biomass,,,H2,,,,,0
2219,NLD,2028,Feasibility study,NG w CCUS,,,H2,,384793,300,,0
2223,USA,2028,Concept,NG w CCUS,N/A,N/A,Ammonia,,505820,394,2870000,359830
2236,IND,2025,Feasibility study,ALK,Dedicated renewable,Unknown,H2,12,2609,2,,2609
2237,JPN,2030,Concept,Biomass w CCUS,,,H2,,7803,6,,7803
2241,SWE,,Feasibility study,Biomass w CCUS,,,H2,,17102,13,,17102
2246,ESP,2026,Feasibility study,ALK,Grid,,H2,150,32609,25.4,,32609
2251,ESP,2026,Feasibility study,ALK,Grid+Renewables,Solar PV,H2,30,6522,5.1,,6522
2256,ESP,2024,Feasibility study,Biomass,,,H2,,2280,2,,2280
2270,KOR,,Concept,Biomass,,,H2,,,,,0
2273,EST,,Concept,Biomass,,,H2,,,,,0
2274,FRA,,Concept,Biomass,,,H2,,321,0,,321
2275,KOR,2026,Concept,SOEC,Nuclear,,H2,0,,,,0
2288,CHN,2023,Operational,ALK,Dedicated renewable,Solar PV,H2,69,15000,11.7,,15000
2289,USA,2024,FID/Construction,PEM,Dedicated renewable,Unknown,Synfuels,0.8,160,0,,160
2293,CHN,2023,FID/Construction,NG w CCUS,,,H2,,70000,54.6,,0
2298,FRA,2028,Feasibility study,PEM,Grid,,H2,300,57692,45,,57692
2309,FRA,2024,FID/Construction,ALK,Grid,,H2,1,217,0.2,,217
2310,FRA,2025,Feasibility study,ALK,Grid,,H2,2,435,0.3,,435
2311,FRA,2025,Feasibility study,ALK,Grid,,H2,2,435,0.3,,435
2312,FRA,2025,Feasibility study,ALK,Grid,,H2,2,435,0.3,,435
2313,FRA,2025,Feasibility study,ALK,Grid,,H2,2,435,0.3,,435
2314,FRA,2025,Feasibility study,ALK,Grid,,H2,2,435,0.3,,435
2315,FRA,2027,Feasibility study,ALK,Grid,,H2,85,18478,14.4,,18478
2317,GBR,2026,Feasibility study,ALK,Dedicated renewable,Unknown,H2,5,1087,0.8,,1087
2319,ITA,2027,Concept,Biomass,,,H2,,2100,1.6,,2100
2320,GBR,2030,Feasibility study,NG w CCUS,,,H2,,192135,149.8,,0
2322,NOR,2030,Feasibility study,NG w CCUS,,,H2,,640449,499.3,3600000,451355
2323,PRT,,Feasibility study,PEM,Grid+Renewables,Solar PV,H2,4,769,0.6,,769
2327,ITA,2026,FID/Construction,ALK,Dedicated renewable,Solar PV,H2,2.5,543,0.4,,543
2328,DEU,2026,Concept,PEM,Dedicated renewable,Hydropower,H2,50,9615,7.5,,9615
2338,CAN,,Feasibility study,NG w CCUS,,N/A,H2,,487565,380.1,3000000,376129
2339,COL,,FID/Construction,Biomass w CCUS,,,Various,,47,,,47
2340,COL,2026,Concept,ALK,Dedicated renewable,Solar PV,Ammonia,30,6522,5.1,,6522
2341,COL,2023,FID/Construction,ALK,Dedicated renewable,Hydropower,Ammonia,2.3,500,0.4,,500
2342,COL,2025,FID/Construction,ALK,Dedicated renewable,Hydropower,Various,5,1087,0.8,,1087
2343,COL,2025,Feasibility study,ALK,Grid,,Ammonia,1,217,0.2,,217
2344,COL,2026,Concept,PEM,Dedicated renewable,Others/Various,Various,3000,576923,449.8,,576923
2347,COL,2026,Concept,PEM,Dedicated renewable,Solar PV,H2,2,385,0.3,,385
2348,COL,2027,Concept,PEM,Dedicated renewable,Solar PV,Various,1106.3832,212766,165.9,,212766
2349,COL,2027,Feasibility study,PEM,Dedicated renewable,Solar PV,Various,40,7692,6,,7692
2350,COL,2027,Concept,PEM,Dedicated renewable,Offshore wind,Various,1217.0236,234043,182.5,,234043
2351,COL,2024,Feasibility study,PEM,Dedicated renewable,Solar PV,H2,1.2,231,0.2,,231
2352,COL,2027,Feasibility study,ALK,Grid,,Ammonia,1000,217391,169.5,,217391
2353,COL,2023,Operational,PEM,Dedicated renewable,Solar PV,H2,0.165,32,0,,32
2379,COL,2030,Concept,PEM,Grid,,Ammonia,120,23077,18,,23077
2386,FRA,2027,FID/Construction,ALK,Grid,,H2,2,435,0.3,,435
2387,FRA,2025,FID/Construction,ALK,Grid,,H2,1,217,0.2,,217
2399,FRA,2030,Concept,PEM,Dedicated renewable,Solar PV,H2,10,1923,1.5,,1923
2402,FRA,2023,FID/Construction,Biomass,,,H2,,157,0,,157
2417,AUT,2025,Concept,PEM,Other/Unknown,Hydropower,H2,1,192,0.1,,192
2418,AUT,2023,Operational,PEM,Dedicated renewable,Others/Various,CH4,2,385,0.3,,385
2419,AUT,2024,Concept,SOEC,Grid,,H2,1,263,0.2,,263
2420,AUT,2017,Operational,ALK,Dedicated renewable,Solar PV,H2,0.35,76,0.1,,76
2421,AUT,2020,Operational,SOEC,Grid+Renewables,Hydropower,H2,0.15,39,0,,39
2423,EST,2030,Concept,PEM,Grid+Renewables,Unknown,H2,24,4615,3.6,,4615
2424,EST,2024,Feasibility study,ALK,Dedicated renewable,Solar PV,H2,0.21,46,0.036,,46
2426,FIN,2025,Feasibility study,ALK,Dedicated renewable,Others/Various,Various,200,43478,33.9,,43478
2440,ROU,2025,Feasibility study,ALK,Grid,,H2,5,1087,0.8,,1087
2442,PRT,2024,FID/Construction,PEM,Dedicated renewable,Solar PV,H2,4,769,0.6,,769
2443,PRT,2025,Feasibility study,PEM,Grid,,H2,6.6,1269,1,,1269
2445,IND,2023,FID/Construction,PEM,Grid+Renewables,Unknown,H2,0.34,65,0.1,,65
2446,IND,2023,FID/Construction,PEM,Dedicated renewable,Solar PV,H2,1,192,0.1,,192
2448,USA,,Feasibility study,Biomass w CCUS,,,H2,,26936,21,450000,26936
2449,USA,2026,Feasibility study,Biomass w CCUS,,,H2,,,,,0
2450,EST,2030,Concept,PEM,Grid+Renewables,Unknown,H2,24,4615,3.6,,4615
2455,IND,2025,Feasibility study,Biomass,,,H2,,520,0.41,,520
2465,IND,2026,Feasibility study,Biomass,,,H2,,74906,58,,74906
2466,IND,2024,Concept,ALK,Dedicated renewable,Unknown,H2,1475,320661,250,,320661
2474,IND,2025,Feasibility study,PEM,Dedicated renewable,Unknown,H2,0,75,0.06,,75
2478,IND,2026,Feasibility study,Biomass,,,H2,,1152,0.9,,1152
2480,IND,2030,Concept,PEM,Dedicated renewable,Unknown,H2,7303,1404494,1095,,1404494
2484,IND,2024,FID/Construction,Biomass,,,H2,,2850,2,,2850
2488,IND,2025,Feasibility study,SOEC,Dedicated renewable,Unknown,H2,0,2,0,,2
2489,IND,2026,Feasibility study,Biomass,,,H2,,52,0.04,,52
2500,CHN,,Feasibility study,ALK,Dedicated renewable,Others/Various,H2,270,58696,45.8,,58696
2503,CHE,2023,Operational,ALK,Dedicated renewable,Solar PV,CH4,0.5,109,0.1,,109
2524,DEU,2026,Feasibility study,PEM,Dedicated renewable,Offshore wind,H2,200,38462,30,,38462
2525,DEU,2028,Feasibility study,PEM,Dedicated renewable,Offshore wind,H2,300,57692,45,,57692
2539,IND,2030,Concept,Biomass,,,H2,,499,0.39,,499
2550,NOR,2023,FID/Construction,PEM,Dedicated renewable,Offshore wind,Ammonia,1,192,0.1,,192
2552,USA,2027,Feasibility study,NG w CCUS,N/A,N/A,Ammonia,,230968,180,,0
